Facility Id,Facility Name,Industry
1003702,Aera Energy Buena Fe,Petroleum and Natural Gas Systems
1002315,Aera Energy Calso,Petroleum and Natural Gas Systems
1006405,Aera Energy Coalinga,Petroleum and Natural Gas Systems
1012480,Aera Energy Lockwood,Petroleum and Natural Gas Systems
1005790,Aera Energy Lost Hills,Petroleum and Natural Gas Systems
1006914,Aera Energy MOCO,Petroleum and Natural Gas Systems
1005635,Aera Energy Metson,Petroleum and Natural Gas Systems
1012475,Aera Energy Penn Zier,Petroleum and Natural Gas Systems
1006846,Aera Energy San Ardo,Petroleum and Natural Gas Systems
1002155,Aera Energy Ventura,Petroleum and Natural Gas Systems
1009944,Aera Energy Wier Gore Maxwell,Petroleum and Natural Gas Systems
1006556,Afton Generating Station,Power Plants
1013891,Ag Processing Inc,Other
1002365,Ag Processing Inc,Other
1008358,Agave Dagger Draw Gas Plant,"Injection of CO2,Petroleum and Natural Gas Systems,Suppliers of CO2"
1010699,"Aggregate Industries SWR, Inc. - Utelite Plant",Minerals
1011305,Agri-Mark,Other
1012864,Agropur,Other
1012857,Agropur Inc.,Other
1013643,"Agropur, Inc.",Other
1013698,Agua Dulce,Petroleum and Natural Gas Systems
1013907,Agua Dulce Compressor Station,Petroleum and Natural Gas Systems
1007206,Agua Fria Generating Station,Power Plants
1000423,Agua Mansa Power,Power Plants
1011038,"Ahlstrom Filtration, LLC.",Pulp and Paper
1007273,Ahlstrom Mosinee LLC,"Pulp and Paper,Waste"
1005991,Ahlstrom NA Specialty Solutions LLC,Pulp and Paper
1002339,Ahlstrom NA Specialty Solutions LLC,"Pulp and Paper,Waste"
1004045,Ahlstrom North America SPECIALTY SOLUTIONS,Pulp and Paper
1007253,Air Liquide Hydrogen Plant,Chemicals
1006711,Air Liquide Large Industries US - SMR,Chemicals
1014562,Air Liquide North Las Vegas Liquid Hydrogen Plant,Chemicals
1013917,Air Products - Geismar 3 HYCO,Chemicals
1013205,Air Products Baytown 3 Facility,Chemicals
1014231,Air Products H2 SMR Plant at DCRC (Unit 37),Chemicals
1004442,Air Products LLC - Corpus Christi,Chemicals
1006943,Air Products LLC - Pasadena SMR,Chemicals
1003160,Air Products La Porte Facility,Chemicals
1006402,Air Products Port Arthur Facility,"Chemicals,Suppliers of CO2"
