Facility Id,Year,Emissions
1005125,2023.0,375379.984
1000362,2023.0,145410.472
1007780,2023.0,105232.0
1003362,2023.0,82039.5
1004254,2023.0,79401.452
1005780,2023.0,46011.876
1004205,2023.0,38238.156
1003621,2023.0,5693.5
1006544,2023.0,37966.75
1004200,2023.0,139251.336
1004270,2023.0,492032.354
1006733,2023.0,60868.008
1004554,2023.0,71005.778
1004334,2023.0,6546.276
1004075,2023.0,17301.784
1004181,2023.0,15446.192
1003135,2023.0,80617.642
1003102,2023.0,93906.546
1002882,2023.0,166670.372
1005358,2023.0,124207.156
1005558,2023.0,114972.84
1005915,2023.0,106520.328
1005824,2023.0,121377.452
1000329,2023.0,115984.292
1007717,2023.0,30627.584
1005813,2023.0,49386.564
1000304,2023.0,54419.412
1006699,2023.0,49775.212
1007881,2023.0,399263.596
1006625,2023.0,44838.132
1005694,2023.0,63970.86
1006525,2023.0,92119.004
1005434,2023.0,46962.824
1004067,2023.0,34714.418
1006637,2023.0,163392.826
1005513,2023.0,47936.92
1007220,2023.0,75427.764
1000357,2023.0,34361.694
1006063,2023.0,98012.38
1005150,2023.0,31109.032
1004569,2023.0,517405.07
1006848,2023.0,236314.696
1004375,2023.0,160190.21
1003005,2023.0,886781.38
1006263,2023.0,345456.818
1004081,2023.0,304546.196
1004020,2023.0,485543.888
1005299,2023.0,84771.086
1004036,2023.0,168154.952
1006036,2023.0,44800.148
1002649,2023.0,27781.25
1005696,2023.0,8989.374
1004017,2023.0,56768.114
1005755,2023.0,75234.72
1005225,2023.0,16241.5
1005990,2023.0,189158.328
1004470,2023.0,33561.97
1003466,2023.0,19227.0
1002969,2023.0,204520.136
1006260,2023.0,23477.044
1004721,2023.0,441463.26
1007877,2023.0,243722.174
1002308,2023.0,1816908.104
1007663,2023.0,1065672.4
1004758,2023.0,575919.95
1005331,2023.0,359397.456
1008033,2023.0,517396.09
1005820,2023.0,20957.25
1006809,2023.0,40127.38
1003901,2023.0,27921.098
1001649,2023.0,2918099.212
1007673,2023.0,44514.16
1004915,2023.0,39195.852
1001650,2023.0,2076855.438
1006083,2023.0,138982.876
1005313,2023.0,45318.75
1003514,2023.0,112696.25
1005349,2023.0,56027.688
1001651,2023.0,809717.412
1006990,2023.0,39900.398
1005295,2023.0,121694.75
1006853,2023.0,0.5
1004341,2023.0,219056.5
1006082,2023.0,25364.004
1005745,2023.0,62160.62
1007055,2023.0,54093.464
1005772,2023.0,71076.432
1006202,2023.0,65220.204
1007762,2023.0,55371.192
1006572,2023.0,55644.54
1003902,2023.0,275194.204
1002301,2023.0,9475265.746
1012698,2023.0,933843.012
1004183,2023.0,2433916.714
1006005,2023.0,3191236.552
1002100,2023.0,40559.0
1002996,2023.0,177180.748
1003509,2023.0,4384.75
1002759,2023.0,21988.668
1007625,2023.0,1568512.014
1000217,2023.0,68224.25
1002859,2023.0,1940432.894
1000394,2023.0,103874.02
1005344,2023.0,272960.996
1005107,2023.0,69334.8
1004491,2023.0,282235.45
1004099,2023.0,122935.25
1001909,2023.0,168825.432
1004911,2023.0,32673.27
1006901,2023.0,143250.74
1003474,2023.0,130935.032
1007813,2023.0,13451.25
1005650,2023.0,186144.866
1002618,2023.0,53437.792
1006145,2023.0,46277.309
1003041,2023.0,448221.294
1003890,2023.0,13318.594
1004133,2023.0,486170.748
1002176,2023.0,782337.882675
1006021,2023.0,33487.2
1004719,2023.0,265496.136
1007770,2023.0,485513.118
1007899,2023.0,48457.0
1007795,2023.0,48758.544
1001844,2023.0,33033.95
1006967,2023.0,1002445.798
1002146,2023.0,861803.136
1003610,2023.0,4366328.768
1006189,2023.0,491480.394
1007978,2023.0,3250629.394
1005583,2023.0,68038.25
1005841,2023.0,43686.736
1007669,2023.0,5416.598
1000063,2023.0,121110.844
1006700,2023.0,28731.292
1001143,2023.0,73724.302
1002992,2023.0,205818.25
1010732,2023.0,44457.56
1002353,2023.0,28354.6
1010378,2023.0,44982.75
1002232,2023.0,65361.0
1005734,2023.0,23923.492
1006671,2023.0,918021.03
1004656,2023.0,86253.976
1007942,2023.0,1248855.472
1004657,2023.0,81732.892
